"","time","value","Intervention"
"333",118,512999.106528133,"Intervention"
"334",119,517012.691549825,"Intervention"
"335",120,520971.707028328,"Intervention"
"336",121,524876.72211496,"Intervention"
"337",122,528728.305273404,"Intervention"
"338",123,532527.024095414,"Intervention"
"339",124,536273.445122334,"Intervention"
"340",125,539968.133672409,"Intervention"
"341",126,543611.653673824,"Intervention"
"342",127,547204.567503424,"Intervention"
"343",128,550747.435831055,"Intervention"
"344",129,554240.817469449,"Intervention"
"345",130,557685.269229594,"Intervention"
"346",131,561081.345781505,"Intervention"
"347",132,564429.599520314,"Intervention"
"348",133,567730.580437606,"Intervention"
"349",134,570984.835997904,"Intervention"
"350",135,574192.911020214,"Intervention"
"351",136,577355.347564553,"Intervention"
"352",137,580472.684823347,"Intervention"
"353",138,583545.459017619,"Intervention"
"354",139,586574.203297868,"Intervention"
"355",140,589559.447649534,"Intervention"
"356",141,592501.718802965,"Intervention"
"357",142,595401.540147777,"Intervention"
"358",143,598259.431651512,"Intervention"
"359",144,601075.909782499,"Intervention"
"360",145,603851.487436811,"Intervention"
"361",146,606586.67386923,"Intervention"
"362",147,609281.974628108,"Intervention"
"363",148,611937.891494042,"Intervention"
"364",149,614554.922422252,"Intervention"
"365",150,617133.561488578,"Intervention"
"366",151,619674.298838984,"Intervention"
"367",152,622177.620642488,"Intervention"
"368",153,624644.009047424,"Intervention"
"369",154,627073.942140926,"Intervention"
"370",155,629467.893911564,"Intervention"
"371",156,631826.334215023,"Intervention"
"372",157,634149.728742751,"Intervention"
"373",158,636438.53899347,"Intervention"
"374",159,638693.222247478,"Intervention"
"375",160,640914.231543649,"Intervention"
"376",161,643102.015659042,"Intervention"
"377",162,645257.01909105,"Intervention"
"378",163,647379.682041989,"Intervention"
"379",164,649470.440406057,"Intervention"
"380",165,651529.72575859,"Intervention"
"381",166,653557.96534752,"Intervention"
"382",167,655555.582086971,"Intervention"
"383",168,657522.994552922,"Intervention"
"384",169,659460.616980849,"Intervention"
"385",170,661368.859265288,"Intervention"
"386",171,663248.126961245,"Intervention"
"387",172,665098.821287383,"Intervention"
"388",173,666921.339130913,"Intervention"
"389",174,668716.073054138,"Intervention"
"390",175,670483.411302574,"Intervention"
"391",176,672223.737814587,"Intervention"
"392",177,673937.432232489,"Intervention"
"393",178,675624.869915029,"Intervention"
"394",179,677286.421951221,"Intervention"
"395",180,678922.455175461,"Intervention"
"396",181,680533.332183857,"Intervention"
"397",182,682119.411351747,"Intervention"
"398",183,683681.04685232,"Intervention"
"399",184,685218.588676318,"Intervention"
"400",185,686732.38265275,"Intervention"
"401",186,688222.770470576,"Intervention"
"402",187,689690.089701318,"Intervention"
"403",188,691134.673822538,"Intervention"
"404",189,692556.852242161,"Intervention"
"405",190,693956.950323575,"Intervention"
"406",191,695335.289411485,"Intervention"
"407",192,696692.186858468,"Intervention"
"408",193,698027.956052198,"Intervention"
"409",194,699342.906443293,"Intervention"
"410",195,700637.34357376,"Intervention"
"411",196,701911.569105989,"Intervention"
"412",197,703165.880852262,"Intervention"
"413",198,704400.572804757,"Intervention"
"414",199,705615.935165999,"Intervention"
"415",200,706812.254379726,"Intervention"
"416",201,707989.813162158,"Intervention"
"417",202,709148.89053361,"Intervention"
"418",203,710289.761850448,"Intervention"
"419",204,711412.698837346,"Intervention"
"420",205,712517.969619812,"Intervention"
"421",206,713605.838756974,"Intervention"
"422",207,714676.567274587,"Intervention"
"423",208,715730.412698242,"Intervention"
"424",209,716767.629086751,"Intervention"
"425",210,717788.467065691,"Intervention"
"426",211,718793.173861081,"Intervention"
"427",212,719781.993333168,"Intervention"
