"","time","value","Intervention"
"369",154,28124.0720964521,"Intervention"
"370",155,27705.2156293897,"Intervention"
"371",156,27291.9042949336,"Intervention"
"372",157,26884.0864356246,"Intervention"
"373",158,26481.7101551964,"Intervention"
"374",159,26084.7233490975,"Intervention"
"375",160,25693.0737340156,"Intervention"
"376",161,25306.7088764245,"Intervention"
"377",162,24925.5762201693,"Intervention"
"378",163,24549.6231131101,"Intervention"
"379",164,24178.7968328418,"Intervention"
"380",165,23813.044611509,"Intervention"
"381",166,23452.3136597329,"Intervention"
"382",167,23096.5511896711,"Intervention"
"383",168,22745.7044372277,"Intervention"
"384",169,22399.7206834315,"Intervention"
"385",170,22058.5472750012,"Intervention"
"386",171,21722.1316441165,"Intervention"
"387",172,21390.4213274125,"Intervention"
"388",173,21063.3639842162,"Intervention"
"389",174,20740.9074140423,"Intervention"
"390",175,20422.9995733675,"Intervention"
"391",176,20109.5885916991,"Intervention"
"392",177,19800.6227869578,"Intervention"
"393",178,19496.0506801895,"Intervention"
"394",179,19195.8210096258,"Intervention"
"395",180,18899.8827441083,"Intervention"
"396",181,18608.1850958945,"Intervention"
"397",182,18320.6775328613,"Intervention"
"398",183,18037.3097901229,"Intervention"
"399",184,17758.0318810792,"Intervention"
"400",185,17482.7941079101,"Intervention"
"401",186,17211.5470715317,"Intervention"
"402",187,16944.2416810298,"Intervention"
"403",188,16680.8291625859,"Intervention"
"404",189,16421.2610679106,"Intervention"
"405",190,16165.4892821984,"Intervention"
"406",191,15913.4660316192,"Intervention"
"407",192,15665.1438903601,"Intervention"
"408",193,15420.4757872313,"Intervention"
"409",194,15179.4150118501,"Intervention"
"410",195,14941.9152204156,"Intervention"
"411",196,14707.9304410879,"Intervention"
"412",197,14477.4150789841,"Intervention"
"413",198,14250.3239208038,"Intervention"
"414",199,14026.6121390963,"Intervention"
"415",200,13806.235296181,"Intervention"
"416",201,13589.1493477344,"Intervention"
"417",202,13375.3106460521,"Intervention"
"418",203,13164.6759430008,"Intervention"
"419",204,12957.2023926676,"Intervention"
"420",205,12752.84755372,"Intervention"
"421",206,12551.5693914849,"Intervention"
"422",207,12353.3262797594,"Intervention"
"423",208,12158.0770023597,"Intervention"
"424",209,11965.7807544214,"Intervention"
"425",210,11776.3971434585,"Intervention"
"426",211,11589.8861901901,"Intervention"
"427",212,11406.2083291455,"Intervention"
