"","time","value","Intervention"
"404",189,6173976.19394893,"Intervention"
"405",190,6172807.61840774,"Intervention"
"406",191,6171657.42424968,"Intervention"
"407",192,6170525.33632355,"Intervention"
"408",193,6169411.08314779,"Intervention"
"409",194,6168314.39687629,"Intervention"
"410",195,6167235.0132639,"Intervention"
"411",196,6166172.67163184,"Intervention"
"412",197,6165127.11483292,"Intervention"
"413",198,6164098.08921664,"Intervention"
"414",199,6163085.34459418,"Intervention"
"415",200,6162088.63420332,"Intervention"
"416",201,6161107.71467325,"Intervention"
"417",202,6160142.3459894,"Intervention"
"418",203,6159192.29145817,"Intervention"
"419",204,6158257.31767165,"Intervention"
"420",205,6157337.19447245,"Intervention"
"421",206,6156431.69491837,"Intervention"
"422",207,6155540.5952473,"Intervention"
"423",208,6154663.67484199,"Intervention"
"424",209,6153800.71619501,"Intervention"
"425",210,6152951.50487377,"Intervention"
"426",211,6152115.82948555,"Intervention"
"427",212,6151293.48164272,"Intervention"
